Sentence_no,Token,Token_ID,Token_TYPE,Token_no,Partition
0,If,T1,if_else,0,3
0,the,P,NONE,1,3
0,metadata,P,NONE,2,3
0,server,P,NONE,3,3
0,is,P,NONE,4,3
0,in,T2,Pred_Name,5,3
0,a,T2,Pred_Name,6,3
0,grace,T2,Pred_Name,7,3
0,period,T2,Pred_Name,8,3
0,",",P,NONE,9,3
0,and,T4,and,10,3
0,does,T5,Pred_Name,11,3
0,not,T5,Pred_Name,12,3
0,persist,T5,Pred_Name,13,3
0,layouts,T6,Variable,14,3
0,and,T10,and,15,3
0,device,T7,Variable,16,3
0,ID,T7,Variable,17,3
0,to,P,NONE,18,3
0,device,T8,Variable,19,3
0,address,T8,Variable,20,3
0,mappings,T9,Func_Name,21,3
0,",",P,NONE,22,3
0,then,P,NONE,23,3
0,it,P,NONE,24,3
0,MUST,P,NONE,25,3
0,return,T12,Op_return,26,3
0,NFS4ERR_GRACE,T13,Value,27,3
0,(see,P,NONE,28,3
0,Section,P,NONE,29,3
0,8.4.2.1),P,NONE,30,3
0,.,P,NONE,31,3
1,"Thus,",P,NONE,0,3
1,loga_minlength,T14,Variable,1,3
1,MUST,P,NONE,2,3
1,be,P,NONE,3,3
1,less,T15,Pred_Name,4,3
1,than,T15,Pred_Name,5,3
1,or,T15,Pred_Name,6,3
1,equal,T15,Pred_Name,7,3
1,to,P,NONE,8,3
1,loga_length,T16,Variable,9,3
1,.,P,NONE,10,3
2,When,T18,if_else,0,3
2,a,P,NONE,1,3
2,length,T19,Variable,2,3
2,field,T19,Variable,3,3
2,is,T20,Pred_Name,4,3
2,set,P,NONE,5,3
2,to,P,NONE,6,3
2,NFS4_UINT64_MAX,T17,Value,7,3
2,",",P,NONE,8,3
2,this,P,NONE,9,3
2,indicates,P,NONE,10,3
2,a,P,NONE,11,3
2,desire,P,NONE,12,3
2,(when,P,NONE,13,3
2,loga_length,P,NONE,14,3
2,is,P,NONE,15,3
2,NFS4_UINT64_MAX),P,NONE,16,3
2,or,P,NONE,17,3
2,requirement,P,NONE,18,3
2,(when,P,NONE,19,3
2,loga_minlength,P,NONE,20,3
2,is,P,NONE,21,3
2,NFS4_UINT64_MAX),P,NONE,22,3
2,to,P,NONE,23,3
2,get,T29,Func_Name,24,3
2,a,T29,Func_Name,25,3
2,layout,T29,Func_Name,26,3
2,from,P,NONE,27,3
2,loga_offset,T30,Variable,28,3
2,through,T31,Variable,29,3
2,the,T31,Variable,30,3
2,end-of-file,T31,Variable,31,3
2,",",P,NONE,32,3
2,regardless,P,NONE,33,3
2,of,P,NONE,34,3
2,the,P,NONE,35,3
2,file's,P,NONE,36,3
2,length,P,NONE,37,3
2,.,P,NONE,38,3
3,o,P,NONE,0,3
3,If,T38,if_else,1,3
3,loga_length,T33,Variable,2,3
3,is,T34,Pred_Name,3,3
3,less,T34,Pred_Name,4,3
3,than,T34,Pred_Name,5,3
3,loga_minlength,T35,Variable,6,3
3,",",P,NONE,7,3
3,the,P,NONE,8,3
3,metadata,P,NONE,9,3
3,server,P,NONE,10,3
3,MUST,P,NONE,11,3
3,return,T37,Op_return,12,3
3,NFS4ERR_INVAL,T32,Value,13,3
3,.,P,NONE,14,3
4,o,P,NONE,0,3
4,If,T39,if_else,1,3
4,loga_minlength,T40,Variable,2,3
4,is,T41,Pred_Name,3,3
4,zero,T42,Value,4,3
4,",",P,NONE,5,3
4,this,P,NONE,6,3
4,is,P,NONE,7,3
4,an,P,NONE,8,3
4,indication,P,NONE,9,3
4,to,P,NONE,10,3
4,the,P,NONE,11,3
4,metadata,P,NONE,12,3
4,server,P,NONE,13,3
4,that,P,NONE,14,3
4,the,P,NONE,15,3
4,client,P,NONE,16,3
4,desires,T44,Pred_Name,17,3
4,any,P,NONE,18,3
4,layout,T46,Variable,19,3
4,at,P,NONE,20,3
4,offset,T47,Func_Name,21,3
4,loga_offset,T45,Variable,22,3
4,or,T48,or,23,3
4,less,T49,Pred_Name,24,3
4,that,P,NONE,25,3
4,the,P,NONE,26,3
4,metadata,P,NONE,27,3
4,server,P,NONE,28,3
4,has,T51,Pred_Name,29,3
4,"""readily",T51,Pred_Name,30,3
4,"available""",T51,Pred_Name,31,3
4,.,P,NONE,32,3
5,If,P,NONE,0,3
5,loga_minlength,T53,Variable,1,3
5,is,T54,Pred_Name,2,3
5,zero,T55,Value,3,3
5,and,T56,and,4,3
5,loga_length,T57,Variable,5,3
5,is,T58,Pred_Name,6,3
5,greater,T58,Pred_Name,7,3
5,than,T58,Pred_Name,8,3
5,zero,T59,Value,9,3
5,",",P,NONE,10,3
5,this,P,NONE,11,3
5,tells,T21,Func_Name,12,3
5,the,P,NONE,13,3
5,metadata,P,NONE,14,3
5,server,P,NONE,15,3
5,what,P,NONE,16,3
5,range,T60,Func_Name,17,3
5,of,P,NONE,18,3
5,the,P,NONE,19,3
5,layout,T61,Variable,20,3
5,the,P,NONE,21,3
5,client,P,NONE,22,3
5,would,P,NONE,23,3
5,prefer,T62,Pred_Name,24,3
5,to,T62,Pred_Name,25,3
5,have,T62,Pred_Name,26,3
5,.,P,NONE,27,3
6,If,P,NONE,0,3
6,loga_length,T66,Variable,1,3
6,and,T68,and,2,3
6,loga_minlength,T67,Variable,3,3
6,are,T69,Pred_Name,4,3
6,both,P,NONE,5,3
6,zero,T70,Value,6,3
6,",",P,NONE,7,3
6,then,P,NONE,8,3
6,the,P,NONE,9,3
6,client,P,NONE,10,3
6,is,P,NONE,11,3
6,indicating,T22,Func_Name,12,3
6,that,P,NONE,13,3
6,it,P,NONE,14,3
6,desires,T80,Pred_Name,15,3
6,a,P,NONE,16,3
6,layout,T71,Variable,17,3
6,of,P,NONE,18,3
6,any,T72,Pred_Name,19,3
6,length,T72,Pred_Name,20,3
6,with,P,NONE,21,3
6,the,P,NONE,22,3
6,ending,T73,Func_Name,23,3
6,offset,T73,Func_Name,24,3
6,of,P,NONE,25,3
6,the,P,NONE,26,3
6,range,P,NONE,27,3
6,no,T74,Pred_Name,28,3
6,less,T74,Pred_Name,29,3
6,than,T74,Pred_Name,30,3
6,the,P,NONE,31,3
6,value,P,NONE,32,3
6,specified,P,NONE,33,3
6,loga_offset,T75,Variable,34,3
6,",",P,NONE,35,3
6,and,T76,and,36,3
6,the,P,NONE,37,3
6,starting,T77,Func_Name,38,3
6,offset,T77,Func_Name,39,3
6,at,T78,Pred_Name,40,3
6,or,T78,Pred_Name,41,3
6,below,T78,Pred_Name,42,3
6,loga_offset,T79,Variable,43,3
6,.,P,NONE,44,3
7,If,T64,if_else,0,3
7,the,P,NONE,1,3
7,metadata,P,NONE,2,3
7,server,P,NONE,3,3
7,does,T83,Pred_Name,4,3
7,not,T83,Pred_Name,5,3
7,have,T83,Pred_Name,6,3
7,a,P,NONE,7,3
7,layout,T84,Variable,8,3
7,that,P,NONE,9,3
7,is,P,NONE,10,3
7,readily,T85,Pred_Name,11,3
7,available,T85,Pred_Name,12,3
7,",",P,NONE,13,3
7,then,P,NONE,14,3
7,it,P,NONE,15,3
7,MUST,P,NONE,16,3
7,return,T87,Op_return,17,3
7,NFS4ERR_LAYOUTTRYLATER,T88,Value,18,3
7,.,P,NONE,19,3
8,o,P,NONE,0,3
8,If,T89,if_else,1,3
8,the,P,NONE,2,3
8,sum,T91,Func_Name,3,3
8,of,P,NONE,4,3
8,loga_offset,T94,Variable,5,3
8,and,P,NONE,6,3
8,loga_minlength,T95,Variable,7,3
8,exceeds,T97,Pred_Name,8,3
8,NFS4_UINT64_MAX,T99,Value,9,3
8,",",P,NONE,10,3
8,and,T101,and,11,3
8,loga_minlength,T104,Variable,12,3
8,is,T103,Pred_Name,13,3
8,not,T103,Pred_Name,14,3
8,NFS4_UINT64_MAX,T107,Value,15,3
8,",",P,NONE,16,3
8,the,P,NONE,17,3
8,error,P,NONE,18,3
8,NFS4ERR_INVAL,T111,Value,19,3
8,MUST,P,NONE,20,3
8,result,T109,Op_return,21,3
8,.,P,NONE,22,3
9,o,P,NONE,0,3
9,If,T90,if_else,1,3
9,the,P,NONE,2,3
9,sum,T92,Func_Name,3,3
9,of,P,NONE,4,3
9,loga_offset,T93,Variable,5,3
9,and,P,NONE,6,3
9,loga_length,T96,Variable,7,3
9,exceeds,T98,Pred_Name,8,3
9,NFS4_UINT64_MAX,T100,Value,9,3
9,",",P,NONE,10,3
9,and,T102,and,11,3
9,loga_length,T105,Variable,12,3
9,is,T106,Pred_Name,13,3
9,not,T106,Pred_Name,14,3
9,NFS4_UINT64_MAX,T108,Value,15,3
9,",",P,NONE,16,3
9,the,P,NONE,17,3
9,error,P,NONE,18,3
9,NFS4ERR_INVAL,T112,Value,19,3
9,MUST,P,NONE,20,3
9,result,T110,Op_return,21,3
9,.,P,NONE,22,3
11,If,T114,if_else,0,3
11,loga_minlength,T116,Variable,1,3
11,is,T119,Pred_Name,2,3
11,zero,T117,Value,3,3
11,and,T129,and,4,3
11,the,P,NONE,5,3
11,metadata,P,NONE,6,3
11,server,P,NONE,7,3
11,cannot,T133,Pred_Name,8,3
11,or,T131,or,9,3
11,will,T132,Pred_Name,10,3
11,not,T132,Pred_Name,11,3
11,return,T134,Op_return,12,3
11,a,P,NONE,13,3
11,layout,T135,Variable,14,3
11,according,T24,Pred_Name,15,3
11,to,T24,Pred_Name,16,3
11,the,P,NONE,17,3
11,rules,T26,Value,18,3
11,in,T26,Value,19,3
11,Table,T26,Value,20,3
11,13,T26,Value,21,3
11,",",P,NONE,22,3
11,then,P,NONE,23,3
11,the,P,NONE,24,3
11,metadata,P,NONE,25,3
11,server,P,NONE,26,3
11,MUST,P,NONE,27,3
11,return,T138,Op_return,28,3
11,the,P,NONE,29,3
11,error,P,NONE,30,3
11,NFS4ERR_LAYOUTTRYLATER,T139,Value,31,3
11,.,P,NONE,32,3
12,If,T211,if_else,0,3
12,the,P,NONE,1,3
12,size,T212,Func_Name,2,3
12,of,T212,Func_Name,3,3
12,the,P,NONE,4,3
12,layout,T214,Variable,5,3
12,structure,T214,Variable,6,3
12,exceeds,T215,Pred_Name,7,3
12,the,P,NONE,8,3
12,size,P,NONE,9,3
12,specified,P,NONE,10,3
12,by,P,NONE,11,3
12,maxcount,T216,Variable,12,3
12,",",P,NONE,13,3
12,the,P,NONE,14,3
12,metadata,P,NONE,15,3
12,server,P,NONE,16,3
12,will,P,NONE,17,3
12,return,T218,Op_return,18,3
12,the,P,NONE,19,3
12,NFS4ERR_TOOSMALL,T219,Value,20,3
12,error,P,NONE,21,3
12,.,P,NONE,22,3
13,The,P,NONE,0,3
13,elements,T220,Func_Name,1,3
13,of,T220,Func_Name,2,3
13,logr_layout,T221,Variable,3,3
13,MUST,P,NONE,4,3
13,be,P,NONE,5,3
13,sorted,T222,Pred_Name,6,3
13,in,T222,Pred_Name,7,3
13,ascending,T222,Pred_Name,8,3
13,order,T222,Pred_Name,9,3
13,of,P,NONE,10,3
13,the,P,NONE,11,3
13,value,P,NONE,12,3
13,of,P,NONE,13,3
13,the,P,NONE,14,3
13,lo_offset,T223,Func_Name,15,3
13,field,T223,Func_Name,16,3
13,of,P,NONE,17,3
13,each,P,NONE,18,3
13,element,T224,Variable,19,3
13,.,P,NONE,20,3
14,There,P,NONE,0,3
14,MUST,P,NONE,1,3
14,be,P,NONE,2,3
14,no,T226,Pred_Name,3,3
14,gaps,T226,Pred_Name,4,3
14,or,P,NONE,5,3
14,overlaps,T227,Pred_Name,6,3
14,in,P,NONE,7,3
14,the,P,NONE,8,3
14,range,T228,Func_Name,9,3
14,between,T228,Func_Name,10,3
14,two,T229,Func_Name,11,3
14,successive,T229,Func_Name,12,3
14,elements,T229,Func_Name,13,3
14,of,P,NONE,14,3
14,logr_layout,T230,Variable,15,3
14,.,P,NONE,16,3
15,The,P,NONE,0,3
15,lo_iomode,T225,Func_Name,1,3
15,field,T225,Func_Name,2,3
15,in,P,NONE,3,3
15,each,T233,Func_Name,4,3
15,element,T233,Func_Name,5,3
15,of,T233,Func_Name,6,3
15,logr_layout,T231,Variable,7,3
15,MUST,P,NONE,8,3
15,be,P,NONE,9,3
15,the,P,NONE,10,3
15,same,T232,Pred_Name,11,3
15,.,P,NONE,12,3
16,If,T235,if_else,0,3
16,it,P,NONE,1,3
16,does,T241,Pred_Name,2,3
16,so,T241,Pred_Name,3,3
16,",",P,NONE,4,3
16,it,P,NONE,5,3
16,MUST,P,NONE,6,3
16,ensure,T240,Pred_Name,7,3
16,that,P,NONE,8,3
16,the,P,NONE,9,3
16,lo_iomode,T237,Variable,10,3
16,is,P,NONE,11,3
16,more,T238,Pred_Name,12,3
16,permissive,T238,Pred_Name,13,3
16,than,P,NONE,14,3
16,the,P,NONE,15,3
16,loga_iomode,T239,Variable,16,3
16,requested,P,NONE,17,3
16,.,P,NONE,18,3
17,If,T158,if_else,0,3
17,neither,P,NONE,1,3
17,the,P,NONE,2,3
17,requested,T190,Variable,3,3
17,file,T190,Variable,4,3
17,nor,T192,and,5,3
17,its,P,NONE,6,3
17,containing,T191,Variable,7,3
17,file,T191,Variable,8,3
17,system,T191,Variable,9,3
17,support,T189,Pred_Name,10,3
17,layouts,T189,Pred_Name,11,3
17,",",P,NONE,12,3
17,the,P,NONE,13,3
17,metadata,P,NONE,14,3
17,server,P,NONE,15,3
17,MUST,P,NONE,16,3
17,return,T184,Op_return,17,3
17,NFS4ERR_LAYOUTUNAVAILABLE,T176,Value,18,3
17,.,P,NONE,19,3
18,If,T159,if_else,0,3
18,the,P,NONE,1,3
18,layout,T193,Variable,2,3
18,type,T193,Variable,3,3
18,is,T194,Pred_Name,4,3
18,not,T194,Pred_Name,5,3
18,supported,T194,Pred_Name,6,3
18,",",P,NONE,7,3
18,the,P,NONE,8,3
18,metadata,P,NONE,9,3
18,server,P,NONE,10,3
18,MUST,P,NONE,11,3
18,return,T185,Op_return,12,3
18,NFS4ERR_UNKNOWN_LAYOUTTYPE,T175,Value,13,3
18,.,P,NONE,14,3
19,If,T160,if_else,0,3
19,layouts,T28,Variable,1,3
19,are,T52,Pred_Name,2,3
19,supported,T52,Pred_Name,3,3
19,but,T27,and,4,3
19,no,T198,Variable,5,3
19,layout,T198,Variable,6,3
19,matches,T199,Pred_Name,7,3
19,the,P,NONE,8,3
19,client,P,NONE,9,3
19,provided,T195,Func_Name,10,3
19,layout,T197,Variable,11,3
19,identification,T197,Variable,12,3
19,",",P,NONE,13,3
19,the,P,NONE,14,3
19,metadata,P,NONE,15,3
19,server,P,NONE,16,3
19,MUST,P,NONE,17,3
19,return,T186,Op_return,18,3
19,NFS4ERR_BADLAYOUT,T177,Value,19,3
19,.,P,NONE,20,3
20,If,T161,if_else,0,3
20,an,P,NONE,1,3
20,invalid,T202,Pred_Name,2,3
20,loga_iomode,T201,Variable,3,3
20,is,P,NONE,4,3
20,specified,T205,Pred_Name,5,3
20,",",P,NONE,6,3
20,or,T203,or,7,3
20,a,P,NONE,8,3
20,loga_iomode,T204,Variable,9,3
20,of,T207,Pred_Name,10,3
20,LAYOUTIOMODE4_ANY,T200,Value,11,3
20,is,P,NONE,12,3
20,specified,T206,Pred_Name,13,3
20,",",P,NONE,14,3
20,the,P,NONE,15,3
20,metadata,P,NONE,16,3
20,server,P,NONE,17,3
20,MUST,P,NONE,18,3
20,return,T187,Op_return,19,3
20,NFS4ERR_BADIOMODE,T178,Value,20,3
20,.,P,NONE,21,3
21,If,T162,if_else,0,3
21,the,P,NONE,1,3
21,layout,T208,Variable,2,3
21,for,T209,Func_Name,3,3
21,the,P,NONE,4,3
21,file,T210,Variable,5,3
21,is,P,NONE,6,3
21,unavailable,T150,Pred_Name,7,3
21,due,T136,Pred_Name,8,3
21,to,T136,Pred_Name,9,3
21,transient,T153,Variable,10,3
21,conditions,T153,Variable,11,3
21,",",P,NONE,12,3
21,"e.g.,",P,NONE,13,3
21,file,P,NONE,14,3
21,sharing,P,NONE,15,3
